Statistic,Per 90,Percentile,Stat,Value
Successful Take-Ons,0.24,64.0,,
Touches (Att Pen),0.72,38.0,,
Progressive Passes Rec,0.07,13.0,,
,,,,
Tackles,1.64,64.0,,
Interceptions,0.82,22.0,,
Blocks,1.06,26.0,,
Clearances,4.41,55.0,,
Aerials Won,3.28,91.0,,
,,,Minutes Played,2632.0
Non-Penalty Goals,0.42,87.0,,
npxG: Non-Penalty xG,0.40,92.0,,
Shots Total,2.75,72.0,,
Assists,0.11,23.0,,
xAG: Exp. Assisted Goals,0.19,48.0,,
npxG + xAG,0.59,86.0,,
Shot-Creating Actions,5.20,89.0,,
,,,,
Passes Attempted,35.95,48.0,,
Pass Completion %,84.8%,96.0,,
Progressive Passes,3.91,52.0,,
Progressive Carries,4.50,74.0,,
Successful Take-Ons,2.22,74.0,,
Touches (Att Pen),6.97,91.0,,
Progressive Passes Rec,10.65,81.0,,
,,,,
Tackles,1.21,48.0,,
Interceptions,0.20,7.0,,
Blocks,0.67,23.0,,
Clearances,0.25,15.0,,
Aerials Won,0.56,59.0,,
,,,Minutes Played,3202.0
Non-Penalty Goals,0.51,93.0,,
npxG: Non-Penalty xG,0.41,93.0,,
Shots Total,3.04,81.0,,
Assists,0.20,52.0,,
xAG: Exp. Assisted Goals,0.31,87.0,,
npxG + xAG,0.73,93.0,,
Shot-Creating Actions,4.59,76.0,,
,,,,
Passes Attempted,32.97,31.0,,
Pass Completion %,77.6%,63.0,,
Progressive Passes,3.48,40.0,,
Progressive Carries,2.94,36.0,,
Successful Take-Ons,1.79,62.0,,
Touches (Att Pen),5.81,80.0,,
Progressive Passes Rec,11.59,90.0,,
,,,,
Tackles,1.32,59.0,,
Interceptions,0.54,70.0,,
Blocks,1.08,74.0,,
Clearances,0.61,58.0,,
Aerials Won,1.08,85.0,,
,,,Minutes Played,2664.0
Non-Penalty Goals,0.16,85.0,,
npxG: Non-Penalty xG,0.25,98.0,,
Shots Total,1.92,93.0,,
Assists,0.27,95.0,,
xAG: Exp. Assisted Goals,0.17,85.0,,
npxG + xAG,0.42,97.0,,
Shot-Creating Actions,2.67,64.0,,
,,,,
Passes Attempted,56.04,67.0,,
Pass Completion %,93.3%,99.0,,
Progressive Passes,5.28,60.0,,
Progressive Carries,1.60,70.0,,
Successful Take-Ons,1.12,87.0,,
Touches (Att Pen),3.73,97.0,,
Progressive Passes Rec,5.33,95.0,,
,,,,
Tackles,1.97,44.0,,
Interceptions,0.37,3.0,,
Blocks,1.12,43.0,,
Clearances,0.37,1.0,,
Aerials Won,0.64,34.0,,
,,,Minutes Played,1688.0
Non-Penalty Goals,0.54,77.0,,
npxG: Non-Penalty xG,0.75,99.0,,
Shots Total,3.89,93.0,,
Assists,0.27,90.0,,
xAG: Exp. Assisted Goals,0.21,90.0,,
npxG + xAG,0.96,99.0,,
Shot-Creating Actions,3.26,87.0,,
,,,,
Passes Attempted,24.24,79.0,,
Pass Completion %,69.4%,40.0,,
Progressive Passes,2.53,85.0,,
Progressive Carries,3.26,94.0,,
Successful Take-Ons,1.09,82.0,,
Touches (Att Pen),8.32,99.0,,
Progressive Passes Rec,7.15,88.0,,
,,,,
Tackles,0.72,63.0,,
Interceptions,0.45,98.0,,
Blocks,0.54,47.0,,
Clearances,0.45,21.0,,
Aerials Won,1.90,53.0,,
,,,Minutes Played,995.0
Non-Penalty Goals,0.44,64.0,,
npxG: Non-Penalty xG,0.60,92.0,,
Shots Total,3.68,89.0,,
Assists,0.13,53.0,,
xAG: Exp. Assisted Goals,0.10,44.0,,
npxG + xAG,0.70,82.0,,
Shot-Creating Actions,2.45,64.0,,
,,,,
Passes Attempted,18.49,39.0,,
Pass Completion %,67.8%,33.0,,
Progressive Passes,2.10,71.0,,
Progressive Carries,2.15,82.0,,
Successful Take-Ons,0.74,63.0,,
Touches (Att Pen),6.92,95.0,,
Progressive Passes Rec,7.41,91.0,,
,,,,
Tackles,1.36,97.0,,
Interceptions,0.18,45.0,,
Blocks,0.48,37.0,,
Clearances,0.96,73.0,,
Aerials Won,1.53,41.0,,
,,,Minutes Played,2054.0
Non-Penalty Goals,0.00,17.0,,
npxG: Non-Penalty xG,0.05,60.0,,
Shots Total,0.86,70.0,,
Assists,0.00,8.0,,
xAG: Exp. Assisted Goals,0.04,12.0,,
npxG + xAG,0.09,22.0,,
Shot-Creating Actions,1.79,33.0,,
,,,,
Passes Attempted,70.99,95.0,,
Pass Completion %,86.9%,90.0,,
Progressive Passes,6.31,95.0,,
Progressive Carries,1.73,42.0,,
Successful Take-Ons,0.20,6.0,,
Touches (Att Pen),0.86,22.0,,
Progressive Passes Rec,1.93,3.0,,
,,,,
Tackles,1.86,46.0,,
Interceptions,1.20,79.0,,
Blocks,1.53,85.0,,
Clearances,2.92,70.0,,
Aerials Won,1.73,95.0,,
,,,Minutes Played,1354.0
Non-Penalty Goals,0.00,17.0,,
npxG: Non-Penalty xG,0.04,45.0,,
Shots Total,0.79,64.0,,
Assists,0.20,87.0,,
xAG: Exp. Assisted Goals,0.21,93.0,,
npxG + xAG,0.24,87.0,,
Shot-Creating Actions,3.16,90.0,,
,,,,
Passes Attempted,75.69,98.0,,
Pass Completion %,85.7%,87.0,,
Progressive Passes,6.91,97.0,,
Progressive Carries,1.78,44.0,,
Successful Take-Ons,0.49,37.0,,
Touches (Att Pen),1.58,56.0,,
Progressive Passes Rec,4.14,46.0,,
,,,,
Tackles,2.17,66.0,,
Interceptions,1.58,93.0,,
Blocks,1.18,59.0,,
Clearances,2.47,50.0,,
Aerials Won,0.49,20.0,,
,,,Minutes Played,912.0
Non-Penalty Goals,0.00,17.0,,
npxG: Non-Penalty xG,0.08,80.0,,
Shots Total,1.02,81.0,,
Assists,0.07,48.0,,
xAG: Exp. Assisted Goals,0.07,32.0,,
npxG + xAG,0.15,55.0,,
Shot-Creating Actions,2.03,48.0,,
,,,,
Passes Attempted,65.67,91.0,,
Pass Completion %,83.8%,81.0,,
Progressive Passes,3.78,54.0,,
Progressive Carries,3.63,94.0,,
Successful Take-Ons,0.87,70.0,,
Touches (Att Pen),4.14,99.0,,
Progressive Passes Rec,6.03,85.0,,
,,,,
Tackles,2.98,96.0,,
Interceptions,1.02,58.0,,
Blocks,1.53,85.0,,
Clearances,2.25,37.0,,
Aerials Won,1.16,75.0,,
,,,Minutes Played,1239.0
Non-Penalty Goals,0.13,96.0,,
npxG: Non-Penalty xG,0.09,91.0,,
Shots Total,0.46,45.0,,
Assists,0.00,27.0,,
xAG: Exp. Assisted Goals,0.01,18.0,,
npxG + xAG,0.09,74.0,,
Shot-Creating Actions,0.99,66.0,,
,,,,
Passes Attempted,82.79,94.0,,
Pass Completion %,90.6%,82.0,,
Progressive Passes,4.43,78.0,,
Progressive Carries,0.93,80.0,,
Successful Take-Ons,0.40,84.0,,
Touches (Att Pen),1.06,71.0,,
Progressive Passes Rec,0.26,55.0,,
,,,,
Tackles,2.12,88.0,,
Interceptions,1.32,75.0,,
Blocks,1.32,58.0,,
Clearances,3.38,24.0,,
Aerials Won,2.12,57.0,,
,,,Minutes Played,1360.0
Non-Penalty Goals,0.00,14.0,,
npxG: Non-Penalty xG,0.02,5.0,,
Shots Total,0.30,5.0,,
Assists,0.00,9.0,,
xAG: Exp. Assisted Goals,0.04,18.0,,
npxG + xAG,0.05,6.0,,
Shot-Creating Actions,2.35,54.0,,
,,,,
Passes Attempted,70.04,89.0,,
Pass Completion %,89.5%,89.0,,
Progressive Passes,5.24,60.0,,
Progressive Carries,0.53,12.0,,
Successful Take-Ons,0.76,63.0,,
Touches (Att Pen),0.53,17.0,,
Progressive Passes Rec,1.06,22.0,,
,,,,
Tackles,2.88,85.0,,
Interceptions,1.21,67.0,,
Blocks,1.29,63.0,,
Clearances,1.67,66.0,,
Aerials Won,1.21,72.0,,
,,,Minutes Played,1186.0
Non-Penalty Goals,0.24,95.0,,
npxG: Non-Penalty xG,0.19,94.0,,
Shots Total,2.66,99.0,,
Assists,0.73,99.0,,
xAG: Exp. Assisted Goals,0.27,97.0,,
npxG + xAG,0.47,97.0,,
Shot-Creating Actions,5.25,98.0,,
,,,,
Passes Attempted,69.66,89.0,,
Pass Completion %,84.4%,51.0,,
Progressive Passes,8.15,94.0,,
Progressive Carries,2.34,90.0,,
Successful Take-Ons,0.48,40.0,,
Touches (Att Pen),4.28,97.0,,
Progressive Passes Rec,8.23,98.0,,
,,,,
Tackles,1.53,18.0,,
Interceptions,0.57,13.0,,
Blocks,1.61,88.0,,
Clearances,0.40,2.0,,
Aerials Won,0.32,11.0,,
,,,Minutes Played,1115.0
Non-Penalty Goals,0.26,24.0,,
npxG: Non-Penalty xG,0.20,5.0,,
Shots Total,3.37,81.0,,
Assists,0.09,30.0,,
xAG: Exp. Assisted Goals,0.27,96.0,,
npxG + xAG,0.46,46.0,,
Shot-Creating Actions,5.45,99.0,,
,,,,
Passes Attempted,28.53,92.0,,
Pass Completion %,71.8%,59.0,,
Progressive Passes,2.68,87.0,,
Progressive Carries,3.80,95.0,,
Successful Take-Ons,1.38,87.0,,
Touches (Att Pen),5.01,59.0,,
Progressive Passes Rec,10.03,97.0,,
,,,,
Tackles,1.12,90.0,,
Interceptions,0.09,20.0,,
Blocks,0.86,89.0,,
Clearances,0.00,1.0,,
Aerials Won,0.00,1.0,,
,,,Minutes Played,1041.0
Non-Penalty Goals,0.00,14.0,,
npxG: Non-Penalty xG,0.06,54.0,,
Shots Total,1.00,58.0,,
Assists,0.10,69.0,,
xAG: Exp. Assisted Goals,0.12,82.0,,
npxG + xAG,0.18,70.0,,
Shot-Creating Actions,2.69,67.0,,
,,,,
Passes Attempted,63.46,85.0,,
Pass Completion %,84.9%,60.0,,
Progressive Passes,5.09,54.0,,
Progressive Carries,1.20,58.0,,
Successful Take-Ons,0.80,73.0,,
Touches (Att Pen),1.50,72.0,,
Progressive Passes Rec,2.29,66.0,,
,,,,
Tackles,1.30,12.0,,
Interceptions,0.70,19.0,,
Blocks,1.70,92.0,,
Clearances,1.90,84.0,,
Aerials Won,0.50,22.0,,
,,,Minutes Played,902.0
