Statistic,Per 90,Percentile,Stat,Value
Successful Take-Ons,0.37,21.0,,
Touches (Att Pen),0.82,20.0,,
Progressive Passes Rec,0.59,1.0,,
,,,,
Tackles,1.63,27.0,,
Interceptions,0.52,12.0,,
Blocks,0.82,16.0,,
Clearances,2.37,43.0,,
Aerials Won,1.93,97.0,,
,,,Minutes Played,1214.0
Non-Penalty Goals,0.00,17.0,,
npxG: Non-Penalty xG,0.04,44.0,,
Shots Total,0.65,49.0,,
Assists,0.00,8.0,,
xAG: Exp. Assisted Goals,0.12,66.0,,
npxG + xAG,0.16,59.0,,
Shot-Creating Actions,2.99,84.0,,
,,,,
Passes Attempted,80.78,99.0,,
Pass Completion %,85.2%,85.0,,
Progressive Passes,10.26,99.0,,
Progressive Carries,1.69,39.0,,
Successful Take-Ons,0.13,1.0,,
Touches (Att Pen),1.56,56.0,,
Progressive Passes Rec,2.86,15.0,,
,,,,
Tackles,1.17,6.0,,
Interceptions,1.43,90.0,,
Blocks,1.30,68.0,,
Clearances,1.95,24.0,,
Aerials Won,1.69,95.0,,
,,,Minutes Played,693.0
Non-Penalty Goals,0.00,17.0,,
npxG: Non-Penalty xG,0.00,1.0,,
Shots Total,0.00,1.0,,
Assists,0.18,85.0,,
xAG: Exp. Assisted Goals,0.13,71.0,,
npxG + xAG,0.13,41.0,,
Shot-Creating Actions,2.40,69.0,,
,,,,
Passes Attempted,70.45,95.0,,
Pass Completion %,76.4%,40.0,,
Progressive Passes,7.56,99.0,,
Progressive Carries,1.66,36.0,,
Successful Take-Ons,0.74,61.0,,
Touches (Att Pen),0.92,24.0,,
Progressive Passes Rec,4.06,44.0,,
,,,,
Tackles,2.03,56.0,,
Interceptions,0.18,1.0,,
Blocks,1.48,80.0,,
Clearances,3.50,91.0,,
Aerials Won,0.92,59.0,,
,,,Minutes Played,488.0
Non-Penalty Goals,0.15,93.0,,
npxG: Non-Penalty xG,0.18,98.0,,
Shots Total,1.48,94.0,,
Assists,0.00,8.0,,
xAG: Exp. Assisted Goals,0.03,6.0,,
npxG + xAG,0.21,78.0,,
Shot-Creating Actions,1.19,5.0,,
,,,,
Passes Attempted,38.25,7.0,,
Pass Completion %,80.6%,65.0,,
Progressive Passes,3.11,28.0,,
Progressive Carries,1.19,12.0,,
Successful Take-Ons,0.30,13.0,,
Touches (Att Pen),3.41,98.0,,
Progressive Passes Rec,2.22,6.0,,
,,,,
Tackles,1.78,37.0,,
Interceptions,1.19,78.0,,
Blocks,1.04,44.0,,
Clearances,2.22,35.0,,
Aerials Won,1.78,96.0,,
,,,Minutes Played,607.0
Non-Penalty Goals,0.15,22.0,,
npxG: Non-Penalty xG,0.18,31.0,,
Shots Total,2.13,42.0,,
Assists,0.15,34.0,,
xAG: Exp. Assisted Goals,0.17,38.0,,
npxG + xAG,0.35,29.0,,
Shot-Creating Actions,5.33,91.0,,
,,,,
Passes Attempted,48.12,87.0,,
Pass Completion %,88.0%,99.0,,
Progressive Passes,5.63,90.0,,
Progressive Carries,7.31,99.0,,
Successful Take-Ons,2.13,71.0,,
Touches (Att Pen),5.94,83.0,,
Progressive Passes Rec,11.12,87.0,,
,,,,
Tackles,1.68,79.0,,
Interceptions,0.91,97.0,,
Blocks,2.13,99.0,,
Clearances,0.46,38.0,,
Aerials Won,0.00,1.0,,
,,,Minutes Played,591.0
Non-Penalty Goals,0.00,1.0,,
npxG: Non-Penalty xG,0.25,51.0,,
Shots Total,3.48,92.0,,
Assists,0.13,28.0,,
xAG: Exp. Assisted Goals,0.18,42.0,,
npxG + xAG,0.43,45.0,,
Shot-Creating Actions,2.84,11.0,,
,,,,
Passes Attempted,23.98,3.0,,
Pass Completion %,72.0%,22.0,,
Progressive Passes,1.81,4.0,,
Progressive Carries,4.13,66.0,,
Successful Take-Ons,0.90,18.0,,
Touches (Att Pen),6.58,89.0,,
Progressive Passes Rec,7.99,51.0,,
,,,,
Tackles,1.81,85.0,,
Interceptions,0.26,19.0,,
Blocks,0.77,38.0,,
Clearances,0.90,82.0,,
Aerials Won,1.93,97.0,,
,,,Minutes Played,698.0
